球员,出场数,上场总时间（min）,投篮率,命中次数,出手次数,三分投球率,三分命中次数,三分出手次数,罚球率,罚球命中次数,罚球出手次数,篮板数,助攻次数,抢断次数,盖帽次数,失误次数,犯规次数,生涯总得分
勒布朗-詹姆斯,239,10059,49.10%,2457,5006,33.20%,370,1116,74.30%,1627,2191,2122,1687,419,232,866,569,6911
迈克尔-乔丹,179,7474,48.70%,2188,4497,33.20%,148,446,82.80%,1463,1766,1152,1022,376,158,546,541,5987
卡里姆-贾巴尔,237,8851,53.30%,2356,4422,0.00%,0,0,74.00%,1050,1419,2481,767,0,0,0,797,5762
科比-布莱恩特,220,8635,44.80%,2014,4499,33.10%,292,882,81.60%,1320,1617,1119,1040,310,144,647,660,5640
沙奎尔-奥尼尔,216,8099,56.30%,2041,3627,0.00%,0,0,50.40%,1168,2317,2508,582,117,459,649,769,5250
蒂姆-邓肯,251,9372,50.10%,1975,3939,14.30%,5,35,68.90%,1217,1766,2859,764,168,568,633,701,5172
卡尔-马龙,193,7907,46.30%,1743,3768,16.20%,6,37,73.60%,1269,1725,2062,610,258,135,550,661,4761
杰里-韦斯特,153,6321,46.90%,1622,3460,0.00%,0,0,80.50%,1213,1506,855,970,0,0,0,451,4457
托尼-帕克,226,7766,46.10%,1613,3502,30.90%,119,385,73.10%,700,958,667,1143,198,19,594,429,4045
凯文-杜兰特,136,5513,47.40%,1340,2827,35.10%,297,847,86.50%,999,1155,1057,548,137,161,429,336,3976
德维恩-韦德,177,6694,47.40%,1450,3062,33.80%,103,305,78.00%,951,1220,928,870,273,175,583,467,3954
拉里·伯德,164,6886,47.20%,1458,3090,32.10%,80,249,89.00%,901,1012,1683,1062,296,145,506,466,3897
约翰-哈福利切克,172,6860,43.60%,1451,3329,0.00%,0,0,83.60%,874,1046,1186,825,0,0,0,527,3776
哈基姆-奥拉朱旺,145,5749,52.80%,1504,2847,22.20%,4,18,71.90%,743,1034,1621,458,245,472,424,562,3755
埃尔文-约翰逊,190,7538,50.60%,1291,2552,24.10%,51,212,83.80%,1068,1274,1465,2346,358,64,696,524,3701
德克-诺维茨基,145,5894,46.20%,1220,2642,36.50%,149,408,89.20%,1074,1204,1446,360,149,129,328,407,3663
斯科蒂-皮蓬,208,8105,44.40%,1335,3009,30.30%,200,660,72.40%,772,1067,1583,1048,395,185,602,686,3642
埃尔金·贝勒,134,5510,43.90%,1388,3161,0.00%,0,0,76.90%,847,1101,1724,541,0,0,0,435,3623
威尔特-张伯伦,160,7559,52.20%,1425,2728,0.00%,0,0,46.50%,757,1627,3913,673,0,0,0,402,3607
凯文-麦克海尔,169,5716,56.10%,1204,2145,38.10%,8,21,78.80%,766,972,1253,274,65,281,326,571,3182
保罗-皮尔斯,170,6233,42.30%,1022,2415,35.50%,276,777,83.00%,860,1036,985,578,204,105,476,547,3180
丹尼斯-约翰逊,180,6994,43.90%,1167,2661,0.00%,0,0,80.20%,756,943,781,1006,247,113,480,575,3116
朱利叶斯-欧文,141,5288,48.60%,1187,2441,0.00%,0,0,77.90%,707,908,994,594,235,239,0,403,3088
马努-吉诺比利,218,6075,43.30%,956,2209,35.80%,324,905,81.70%,818,1001,874,827,292,61,481,588,3054
詹姆斯-沃西,143,5297,54.40%,1267,2329,20.90%,14,67,72.70%,474,652,747,463,177,96,298,352,3022
雷吉-米勒,144,5308,44.90%,941,2095,39.00%,320,820,89.30%,770,862,416,357,146,34,257,276,2972
克莱德-德雷克斯勒,145,5572,44.70%,1076,2408,28.80%,141,489,78.70%,670,851,1002,891,278,108,397,486,2963
萨姆-琼斯,154,4654,44.70%,1149,2571,0.00%,0,0,81.10%,611,753,718,358,0,0,0,391,2909
查尔斯-巴克利,123,4849,51.30%,1009,1965,25.50%,64,251,71.70%,751,1048,1582,482,193,108,353,408,2833
罗波特-帕里什,184,6177,50.60%,1132,2239,0.00%,0,0,72.20%,556,770,1765,234,145,309,0,617,2820
帕特里克-尤因,139,5207,46.90%,1104,2353,34.80%,8,23,71.80%,597,831,1435,275,122,303,345,522,2813
雷-阿伦,171,6055,44.30%,928,2095,40.10%,385,959,88.30%,508,575,648,449,164,41,274,402,2749
比尔-拉塞尔,165,7497,43.00%,1003,2335,0.00%,0,0,60.30%,667,1106,4104,770,0,0,0,546,2673
凯文-加内特,143,5276,47.80%,1059,2216,27.30%,15,55,78.90%,468,593,1534,471,178,186,342,431,2601
理查德-汉密尔顿,130,5035,43.90%,943,2148,34.00%,71,209,86.00%,614,714,506,467,122,24,348,401,2571
斯蒂芬-库里,99,3709,45.20%,851,1883,40.70%,410,1007,89.80%,439,489,525,622,169,29,350,250,2551
詹姆斯-哈登,113,3937,41.60%,759,1823,32.80%,263,802,87.40%,769,880,602,633,197,54,389,349,2550
昌西-比卢普斯,146,5321,41.10%,737,1793,36.60%,267,729,88.00%,785,892,492,831,148,23,322,373,2526
拉塞尔-威斯布鲁克,98,3710,41.10%,861,2097,30.20%,140,464,84.20%,627,745,685,778,184,28,390,284,2489
拜伦-斯科特,183,5365,48.20%,934,1937,39.50%,134,339,81.90%,449,548,536,390,226,30,266,445,2451
约翰-斯托克顿,182,6398,47.30%,855,1809,32.60%,111,341,81.00%,615,759,608,1839,338,50,517,539,2436
拉希德-华莱士,177,5839,44.40%,917,2065,35.20%,190,540,71.70%,360,502,1099,264,145,225,229,645,2384
伊塞亚-托马斯,111,4216,44.10%,825,1869,34.60%,81,234,76.90%,530,689,524,987,234,38,369,363,2261
鲍勃-佩蒂特,88,3545,41.80%,766,1834,0.00%,0,0,77.40%,708,915,1304,241,0,0,0,277,2240
大卫-罗宾逊,123,4221,47.90%,768,1604,10.00%,1,10,70.80%,684,966,1301,280,151,312,280,423,2221
埃尔文-海耶斯,96,4160,46.40%,883,1901,0.00%,0,0,65.20%,428,656,1244,185,0,0,0,378,2194
加里-佩顿,154,5482,44.10%,855,1938,31.50%,137,435,70.60%,308,436,575,811,216,32,297,434,2155
德里克-费舍尔,259,6847,42.20%,735,1740,39.90%,285,715,80.50%,391,486,578,598,272,16,237,645,2146
阿伦-艾弗森,71,3205,40.10%,755,1882,32.70%,123,376,76.40%,478,626,273,425,147,14,221,157,2111
保罗-加索尔,136,4821,50.70%,812,1600,29.70%,11,37,74.10%,463,625,1246,438,71,233,250,356,2098
杰夫-霍纳塞克,140,4766,47.00%,741,1578,43.30%,122,282,88.60%,488,551,527,525,170,25,231,385,2092
克莱-汤普森,111,4101,43.90%,778,1771,40.80%,326,799,83.60%,209,250,434,244,103,59,195,300,2091
克里斯-保罗,99,3688,47.90%,759,1585,36.80%,166,451,84.50%,398,471,494,848,219,17,266,302,2082
摩西-马龙,94,3796,47.90%,750,1566,0.00%,0,0,76.20%,576,756,1295,136,84,151,0,244,2077
史蒂夫-纳什,120,4288,47.30%,749,1584,40.60%,178,438,90.00%,396,440,422,1061,66,14,383,238,2072
汤姆-海恩索恩,104,3223,40.20%,818,2035,0.00%,0,0,74.30%,422,568,954,215,0,0,0,417,2058
杰森-基德,158,6085,39.10%,720,1843,32.20%,236,733,78.10%,367,470,1058,1263,302,52,450,348,2043
凯文-约翰逊,105,3879,46.90%,705,1504,24.40%,22,90,83.30%,594,713,349,935,132,30,354,233,2026
鲍勃·库锡,109,0,34.20%,689,2016,0.00%,0,0,80.10%,640,799,546,937,0,0,0,314,2018
鲍伯-丹德里奇,98,3882,48.00%,823,1716,0.00%,0,0,76.10%,321,422,754,365,0,0,0,377,1967
罗伯特-霍里,244,6823,42.60%,665,1562,35.90%,261,728,72.20%,348,482,1361,575,276,225,282,717,1939
盖斯-威廉姆斯,99,3215,47.60%,782,1644,0.00%,0,0,73.70%,356,483,308,469,174,40,0,243,1929
沃尔特-弗雷泽,93,3953,51.10%,767,1500,0.00%,0,0,75.10%,393,523,666,599,0,0,0,285,1927
切特-沃克,105,3688,44.90%,687,1531,0.00%,0,0,78.70%,542,689,737,212,0,0,0,286,1916
奥斯卡-罗波特森,86,3673,46.00%,675,1466,0.00%,0,0,85.50%,560,655,578,769,0,0,0,267,1910
莫里斯·奇克斯,133,4848,51.20%,772,1509,0.00%,0,0,77.70%,362,466,453,922,295,45,318,324,1910
霍雷斯-格兰特,170,6172,53.00%,786,1483,12.50%,1,8,71.40%,334,468,1457,360,171,173,184,515,1907
丹尼·安吉,193,5038,45.60%,717,1571,39.80%,172,432,82.90%,296,357,443,656,172,19,257,533,1902
多尔夫-谢伊斯,97,0,39.00%,582,1491,0.00%,0,0,82.50%,723,876,0,257,0,0,0,371,1887
豪尔-格瑞尔,92,3642,42.50%,705,1657,0.00%,0,0,81.20%,466,574,505,393,0,0,0,357,1876
萨姆-帕金斯,167,4785,44.40%,656,1479,36.30%,152,419,78.50%,397,506,936,246,118,126,207,441,1861
克里夫-哈根,90,2965,45.40%,701,1544,0.00%,0,0,80.00%,432,540,744,305,0,0,0,320,1834
里克-巴里,74,2723,42.60%,719,1688,0.00%,0,0,87.50%,392,448,418,340,0,0,0,232,1833
乔-约翰逊,120,4263,42.70%,703,1647,33.90%,158,466,77.90%,264,339,506,369,96,19,212,226,1828
特里-伯特,124,3939,47.00%,620,1320,37.20%,151,406,82.60%,437,529,371,624,137,14,236,245,1828
贾马尔-威尔克斯,113,3799,46.50%,785,1689,0.00%,0,0,72.70%,250,344,718,246,137,53,0,326,1820
卡梅罗-安东尼,72,2768,41.50%,616,1486,30.90%,79,256,82.40%,453,550,513,184,93,26,198,263,1764
乔-杜马斯,112,4097,46.20%,646,1398,35.80%,53,148,85.50%,407,476,257,512,91,6,205,227,1752
杰森-特里,124,3986,44.10%,634,1437,38.50%,221,574,82.90%,261,315,304,375,112,24,189,276,1750
德怀特-霍华德,95,3512,58.60%,626,1069,0.00%,0,4,54.50%,497,912,1315,132,84,234,295,381,1749
马克-阿吉雷,102,2958,48.50%,696,1435,31.70%,45,142,74.30%,310,417,537,262,71,22,198,281,1747
乔乔-怀特,80,3428,44.90%,732,1629,0.00%,0,0,82.80%,256,309,348,452,0,0,0,241,1720
鲍伯-麦克阿杜,94,2714,49.10%,698,1423,0.00%,0,0,72.40%,320,442,711,127,72,151,0,318,1718
戴夫·考恩斯,89,3768,45.10%,733,1627,0.00%,0,0,74.40%,218,293,1285,333,0,0,0,398,1684
科怀-伦纳德,95,3191,52.30%,615,1176,43.20%,147,340,81.60%,307,376,691,195,156,59,144,207,1684
乔治-迈肯,70,0,40.40%,563,1394,0.00%,0,0,78.60%,554,705,0,155,0,0,0,305,1680
特里-卡明斯,110,2959,50.20%,678,1351,9.10%,1,11,70.60%,307,435,742,173,98,62,171,353,1664
汤姆-钱伯斯,108,3061,44.00%,607,1380,30.70%,27,88,82.70%,421,509,569,183,62,68,208,359,1662
阿历克斯-英格利什,68,2427,50.30%,668,1328,0.00%,0,0,86.20%,325,377,371,293,47,32,142,188,1661
萨姆-卡塞尔,136,3539,41.40%,565,1364,36.30%,117,322,84.70%,409,483,349,592,105,19,268,402,1656
艾尔-霍福德,118,4082,50.30%,662,1315,41.90%,70,167,78.20%,230,294,963,410,94,142,197,295,1624
泰肖恩-普林斯,140,4975,42.70%,618,1447,34.30%,103,300,77.40%,263,340,732,368,109,86,181,244,1602
文斯-卡特,88,3027,41.60%,557,1340,33.80%,119,352,79.60%,360,452,477,295,94,47,168,257,1593
乔治-格文,59,2202,50.80%,622,1225,0.00%,0,0,82.10%,348,424,341,186,69,52,0,207,1592
迈克尔·库珀,168,4744,46.80%,582,1244,39.20%,124,316,82.50%,293,355,574,703,203,96,256,474,1581
唐-尼尔森,150,3209,49.80%,585,1175,0.00%,0,0,81.70%,407,498,719,210,0,0,0,399,1577
阿德里安-丹特利,73,2515,52.50%,531,1012,0.00%,0,0,79.60%,496,623,395,169,69,6,185,188,1558
杰罗米-科尔西,126,3394,46.90%,599,1277,9.50%,2,21,72.70%,357,491,717,233,168,80,163,427,1557
查尔斯-奥克利,144,5108,45.90%,584,1272,36.60%,15,41,75.50%,367,486,1445,283,178,42,308,503,1550
迪克-巴奈特,102,3031,45.80%,603,1317,0.00%,0,0,74.80%,333,445,273,247,0,0,0,282,1539
里克-施密茨,104,2747,50.70%,623,1230,25.00%,1,4,82.90%,290,350,540,135,51,90,185,419,1537
戴夫·德布斯切尔,96,3682,41.60%,634,1523,0.00%,0,0,69.80%,268,384,1155,253,0,0,0,327,1536
保罗-乔治,76,2961,42.30%,487,1152,36.10%,170,471,80.90%,381,471,551,293,127,42,232,246,1525
迈克尔-芬利,129,3907,41.80%,549,1314,38.80%,200,515,86.60%,227,262,456,229,100,32,124,218,1525
肖恩-坎普,88,2937,49.80%,514,1032,20.00%,3,15,79.70%,491,616,853,161,99,137,275,346,1522
肖恩-马里昂,109,3835,45.60%,617,1352,31.80%,71,223,81.40%,214,263,939,158,128,127,140,277,1519
理查德-杰弗森,140,3838,47.30%,535,1132,32.50%,64,197,73.10%,377,516,608,241,87,44,225,323,1511
克里斯-韦伯,80,2900,46.40%,617,1330,26.90%,14,52,61.10%,247,404,696,291,91,92,227,286,1495
拉玛库斯-阿尔德里奇,72,2668,45.50%,584,1284,32.70%,17,52,82.40%,309,375,614,119,49,100,112,196,1494
西德尼-蒙克利夫,93,3226,47.50%,491,1033,29.30%,17,58,81.10%,488,602,469,317,106,36,224,285,1487
J.R.史密斯,130,3826,40.00%,512,1280,37.00%,288,779,70.60%,161,228,421,184,125,38,136,344,1473
厄尔-门罗,82,2715,43.90%,567,1292,0.00%,0,0,79.10%,337,426,266,264,0,0,0,216,1471
拉简-朗多,105,3935,44.30%,601,1358,28.90%,37,128,64.60%,232,359,641,981,201,19,301,266,1471
维拉蒂-迪瓦茨,121,3728,48.00%,541,1128,24.10%,13,54,73.10%,373,510,913,286,117,165,260,439,1468
杰克-希科马,102,3558,44.50%,556,1249,0.00%,0,0,83.00%,338,407,945,244,97,80,209,432,1461
阿玛雷-斯塔德迈尔,78,2398,51.20%,522,1019,25.00%,4,16,75.00%,413,551,574,64,63,104,182,264,1461
安德烈-伊格达拉,133,4349,45.90%,525,1144,36.00%,150,417,59.10%,256,433,649,524,182,60,199,265,1456
克里弗德-罗宾逊,141,3886,39.30%,539,1372,29.80%,87,292,62.90%,288,458,554,250,141,132,230,496,1453
鲍比-琼斯,125,3431,53.50%,553,1034,0.00%,0,0,80.90%,347,429,614,284,132,156,0,400,1453
沃尔特-戴维斯,78,2184,49.60%,591,1192,0.00%,0,0,83.00%,263,317,240,312,88,16,189,186,1450
鲁迪-拉鲁索,93,3188,40.50%,467,1152,0.00%,0,0,75.10%,410,546,779,194,0,0,0,366,1344
乔治-希尔,109,3566,44.70%,448,1003,36.60%,144,393,80.10%,301,376,344,296,99,28,154,257,1341
史蒂夫-史密斯,90,2902,42.60%,444,1042,39.40%,136,345,85.80%,314,366,268,195,77,29,135,221,1338
保罗-韦斯特法尔,107,2449,48.10%,553,1149,0.00%,0,0,78.90%,225,285,153,353,0,0,0,241,1337
大卫-韦斯特,118,3136,47.60%,537,1128,32.00%,8,25,79.60%,253,318,655,265,74,95,174,273,1335
弗兰克-拉姆西,98,2396,42.40%,469,1105,0.00%,0,0,82.60%,393,476,494,151,0,0,0,362,1331
迈克-毕比,105,3481,40.80%,466,1142,37.10%,145,391,81.50%,247,303,330,420,111,25,191,238,1324
A.C.-格林,153,4119,47.50%,455,958,25.00%,12,48,73.90%,393,532,1084,130,100,46,146,340,1315
安芬尼-哈达威,64,2640,44.80%,456,1018,38.00%,101,266,74.60%,291,390,303,394,119,48,188,197,1304
卢-哈德森,61,2199,44.60%,519,1164,0.00%,0,0,80.40%,262,326,318,164,0,0,0,196,1300
阿朗佐-莫宁,95,2597,51.20%,441,861,36.80%,7,19,64.90%,402,619,665,81,45,215,226,330,1291
保罗-米尔萨普,97,2830,46.70%,475,1017,26.30%,42,160,71.40%,297,416,722,179,99,115,169,299,1289
德玛尔-德罗赞,58,2165,41.80%,455,1088,23.30%,24,103,85.10%,337,396,269,208,63,12,133,153,1271
赛尔吉-伊巴卡,117,3471,49.60%,517,1043,38.50%,65,169,77.90%,162,208,771,78,50,259,108,366,1261
韦斯-昂塞尔德,119,4889,49.30%,513,1040,0.00%,0,0,60.80%,234,385,1777,453,0,0,0,371,1260
安德鲁-托尼,72,2146,47.80%,485,1015,23.50%,12,51,78.60%,272,346,168,323,58,18,257,265,1254
鲍伯-兰尼尔,67,2361,53.20%,508,955,0.00%,0,0,76.80%,228,297,645,235,62,99,0,233,1244
拉特里尔-斯普雷威尔,62,2549,41.80%,446,1067,33.00%,62,188,80.30%,269,335,269,211,73,27,171,135,1223
比尔-布拉德利,95,3161,43.80%,510,1165,0.00%,0,0,80.50%,202,251,333,263,0,0,0,313,1222
阿兰-休斯顿,63,2525,44.80%,435,970,42.00%,76,181,88.40%,268,303,184,139,43,10,163,151,1214
巴克-威廉姆斯,108,3710,52.00%,436,839,50.00%,1,2,67.20%,338,503,941,113,90,70,190,386,1211
弗莱德-布朗,83,1900,46.10%,499,1082,0.00%,0,0,81.90%,186,227,196,193,74,8,0,144,1197
吉姆-麦克米兰,72,2722,45.10%,497,1101,0.00%,0,0,79.10%,200,253,377,137,0,0,0,169,1194
拉沙德-刘易斯,93,2829,43.60%,417,956,35.60%,138,388,81.80%,220,269,433,163,69,42,137,186,1192
保罗-阿里金,49,0,41.10%,411,1001,0.00%,0,0,82.90%,364,439,404,128,0,0,0,177,1186
比尔-布里奇斯,113,3521,41.90%,475,1135,0.00%,0,0,67.30%,235,349,1305,219,0,0,0,408,1185
马克-杰克逊,131,3775,43.20%,438,1013,34.50%,97,281,77.70%,212,273,477,904,131,8,292,225,1185
梅塔-沃尔德皮斯,85,3133,38.90%,431,1108,30.80%,128,415,71.40%,190,266,408,234,131,56,141,244,1180
德里克-麦凯,142,3786,46.40%,436,939,30.20%,39,129,74.40%,265,356,626,319,111,88,225,436,1176
埃迪-约翰逊,89,2114,42.90%,452,1054,31.00%,67,216,86.40%,197,228,312,102,46,13,98,199,1168
马奎斯-约翰逊,54,2112,48.90%,471,964,0.00%,0,0,70.10%,218,311,427,198,56,45,111,156,1163
莫里斯-卢卡斯,82,2426,48.40%,472,975,0.00%,0,0,74.40%,215,289,690,225,71,46,0,310,1159
扎克-兰多夫,70,2447,43.70%,439,1005,15.40%,4,26,75.00%,273,364,650,120,51,26,129,213,1155
J.J.雷迪克,106,2773,42.50%,389,916,36.80%,177,481,87.60%,191,218,163,168,53,11,132,203,1146
汤姆-桑德斯,130,3049,43.60%,465,1066,0.00%,0,0,71.60%,212,296,760,127,0,0,0,508,1142
沃恩-米克尔森,85,0,39.60%,396,999,0.00%,0,0,78.30%,349,446,0,152,0,0,0,397,1141
迈克尔-汤普森,104,2708,50.10%,449,897,0.00%,0,0,64.80%,234,361,627,126,56,106,156,309,1132
阿尔奇-克拉克,71,2387,45.40%,444,977,0.00%,0,0,77.20%,237,307,229,297,0,0,0,197,1125
保罗-塞拉斯,163,4619,39.70%,396,998,0.00%,0,0,69.20%,332,480,1527,335,0,0,0,469,1124
杰梅因-奥尼尔,97,2575,42.60%,413,970,0.00%,0,16,71.80%,298,415,631,99,35,167,161,286,1124
布雷克-格里芬,53,1871,49.00%,433,883,36.10%,13,36,73.00%,243,333,448,213,57,46,135,182,1122
肖恩-埃利奥特,85,2836,44.50%,384,862,35.60%,73,205,80.10%,277,346,341,207,59,37,147,220,1118
塞德里克-麦克斯维尔,102,2731,54.50%,375,688,0.00%,0,2,77.70%,366,471,553,194,74,50,172,260,1116
罗兰多-布莱克曼,69,2137,48.40%,434,897,29.00%,9,31,86.90%,233,268,200,217,42,14,126,119,1110
特雷西·麦克格雷迪,50,1721,42.60%,397,933,29.00%,56,193,75.70%,259,342,286,249,53,47,134,93,1109
比尔·卡特赖特,124,3496,48.20%,417,866,0.00%,0,0,72.50%,266,367,668,162,54,57,192,412,1100
伯瑞斯-迪奥,119,3141,50.40%,448,889,33.60%,48,143,73.60%,153,208,520,382,72,52,181,261,1097
凯尔-科沃尔,135,3250,41.70%,367,880,39.10%,239,612,89.00%,121,136,352,151,78,55,114,273,1094
德里克-哈珀,97,3094,44.90%,415,925,36.50%,96,263,71.20%,168,236,233,513,148,11,167,237,1094
奇奇-范德维奇,68,1890,51.00%,419,822,34.50%,20,58,90.70%,235,259,188,134,39,27,89,132,1093
菲尔-切尼尔,60,2088,45.00%,438,974,0.00%,0,0,84.50%,212,251,230,131,0,0,0,152,1088
杰夫-穆林斯,83,2255,44.90%,462,1030,0.00%,0,0,75.10%,160,213,304,259,0,0,0,217,1084
达米安-利拉德,43,1756,41.00%,355,865,35.50%,125,352,88.20%,247,280,194,244,54,13,137,105,1082
丹尼斯-罗德曼,169,4789,49.00%,442,902,14.90%,7,47,54.00%,190,352,1676,205,106,97,258,630,1081
阿尔万-亚当斯,78,2288,47.30%,440,930,0.00%,0,0,76.60%,196,256,588,320,88,71,0,251,1076
鲍伯-乐福,47,2061,43.10%,441,1023,0.00%,0,0,77.60%,194,250,352,87,0,0,0,144,1076
马克-加索尔,67,2561,45.00%,379,842,42.50%,17,40,80.40%,300,373,568,229,65,110,103,225,1075
泽尔莫-贝蒂,63,2345,46.60%,399,857,0.00%,0,0,71.80%,273,380,696,98,0,0,0,267,1071
拉里-南斯,68,2428,54.10%,440,813,0.00%,0,1,74.20%,190,256,535,160,59,144,108,220,1070
约什-史密斯,73,2303,42.60%,397,932,27.70%,46,166,62.70%,225,359,539,203,74,107,164,214,1065
马里奥-埃利,116,3054,45.20%,325,719,36.70%,90,245,83.60%,245,293,342,264,94,16,142,260,985
杰里-斯塔克豪斯,75,2162,36.90%,324,879,33.20%,79,238,82.90%,257,310,232,174,40,18,141,130,984
克里斯-穆林,71,2057,49.50%,366,740,40.90%,67,164,85.90%,183,213,237,148,74,45,136,145,982
吉姆-波拉德,72,0,33.90%,349,1029,0.00%,0,0,75.00%,279,372,0,259,0,0,0,205,977
约什-霍华德,66,2114,44.00%,359,816,31.10%,46,148,78.20%,212,271,458,101,66,39,131,216,976
凯文-威利斯,98,2377,48.40%,398,823,21.40%,3,14,69.20%,171,247,637,60,60,39,129,294,970
内特-瑟蒙德,81,2875,41.60%,379,910,0.00%,0,0,62.10%,208,335,1101,225,0,0,0,266,966
凯文-乐福,63,1957,40.30%,313,776,40.40%,141,349,85.40%,199,233,609,116,46,34,105,150,966
克莱德-拉福莱特,69,1642,41.60%,371,892,0.00%,0,0,68.40%,221,323,557,89,0,0,0,232,963
杰夫-蒂格,71,2078,41.00%,334,815,33.70%,68,202,85.60%,220,257,185,344,67,29,147,158,956
杰夫-马龙,51,1809,47.00%,382,812,16.70%,2,12,85.20%,190,223,141,110,39,12,90,123,956
莱昂德罗-巴博萨,119,2193,43.70%,358,819,33.20%,87,262,77.00%,147,191,206,166,60,11,111,218,950
艾弗里-约翰逊,90,2807,48.60%,398,819,6.30%,1,16,66.10%,152,230,186,562,102,11,171,174,949
凯尔文-墨菲,51,1660,47.50%,388,817,0.00%,0,0,93.20%,165,177,78,213,79,4,0,197,945
蒂姆-哈达威,56,2052,39.30%,329,837,32.00%,110,344,75.10%,175,233,172,382,88,9,165,122,943
拜伦-戴维斯,50,1851,44.20%,329,745,35.00%,99,283,70.90%,185,261,213,311,114,24,131,177,942
本-华莱士,130,4524,48.20%,364,755,0.00%,0,10,41.80%,211,505,1454,173,199,250,136,296,939
拉里-约翰逊,66,2397,48.30%,351,727,30.30%,47,155,76.70%,188,245,351,134,55,11,121,202,937
乔治-亚德利,46,1693,42.20%,324,767,0.00%,0,0,81.70%,285,349,457,112,0,0,0,143,933
里德-科尔,76,2275,38.60%,370,959,0.00%,0,0,68.70%,193,281,827,152,0,0,0,173,933
瑟尔-贝莉,69,2117,44.90%,364,811,0.00%,0,4,83.40%,201,241,382,98,30,82,109,196,929
道格-里弗斯,81,2393,44.60%,308,691,33.80%,50,148,76.70%,260,339,270,479,125,23,153,265,926
迈克-康利,56,2090,41.40%,321,776,31.70%,70,221,79.20%,213,269,205,377,81,12,119,127,925
斯拉特尔-马丁,92,0,35.10%,304,867,0.00%,0,0,71.50%,316,442,0,354,0,0,0,342,924
迪坎贝-穆托姆博,101,3117,51.70%,303,586,0.00%,0,1,70.30%,312,444,962,78,40,251,149,259,918
莱昂内尔-霍林斯,77,2293,41.10%,369,897,0.00%,0,0,73.30%,173,236,207,344,114,11,0,221,911
小安东尼-梅森,96,3092,52.40%,333,636,0.00%,0,4,66.80%,243,364,636,214,54,28,175,257,909
布拉德利-比尔,40,1597,44.00%,327,744,36.30%,95,262,82.30%,158,192,174,148,62,24,91,107,907
丹尼-格林,108,2741,42.60%,327,768,40.80%,206,505,73.00%,46,63,353,128,109,89,93,219,906
安东尼奥-戴维斯,93,2647,47.80%,311,650,100.00%,1,1,67.40%,279,414,686,83,57,102,144,310,902
拉里-福斯特,73,0,39.40%,301,763,0.00%,0,0,78.10%,300,384,707,94,0,0,0,255,902
戴尔-戴维斯,137,3662,53.30%,366,687,0.00%,0,2,50.30%,168,334,1091,87,79,126,153,408,900
马克斯尔-扎斯洛夫斯基,63,0,36.00%,306,850,0.00%,0,0,77.20%,287,372,0,101,0,0,0,174,899
杰里-卢卡斯,72,2370,46.70%,367,786,0.00%,0,0,78.60%,162,206,717,214,0,0,0,197,896
埃尔登-坎贝尔,106,2268,44.00%,339,770,25.00%,1,4,67.00%,209,312,500,99,51,137,129,298,888
格伦-莱斯,55,2037,43.30%,322,743,36.20%,71,196,84.50%,169,200,249,101,45,12,89,133,884
斯科特-威德曼,85,1961,45.30%,368,812,0.00%,0,0,69.60%,119,171,322,150,63,20,0,189,882
保罗-普莱西,75,2269,47.10%,321,682,24.40%,11,45,72.80%,228,313,316,420,116,49,207,261,881
基斯-埃里克森,87,2393,45.20%,364,806,0.00%,0,0,76.20%,144,189,386,216,0,0,0,286,872
马里奥-钱莫斯,99,2880,42.90%,307,716,35.70%,117,328,74.20%,141,190,251,321,117,15,167,274,872
泽维尔-麦克丹尼尔,51,1733,46.40%,365,787,28.20%,11,39,66.70%,126,189,357,131,36,22,125,173,867
杰伦-罗斯,59,1884,43.80%,324,740,38.50%,50,130,80.10%,165,206,189,169,49,25,118,176,863
吉米-巴特勒,51,1902,43.60%,290,665,35.90%,71,198,82.20%,208,253,276,169,77,26,74,100,859
安德烈-米勒,67,1924,44.60%,328,736,38.30%,23,60,76.80%,179,233,241,279,58,5,144,151,858
拉里-齐格弗里德,79,1826,40.00%,301,753,0.00%,0,0,83.40%,256,307,199,209,0,0,0,249,858
约翰-塞利,134,2694,50.50%,296,586,0.00%,0,2,69.00%,265,384,588,104,49,159,107,420,857
卡兹-拉塞尔,72,1566,46.00%,359,781,0.00%,0,0,87.00%,134,154,222,97,0,0,0,151,852
沃尔特-贝拉米,46,1939,47.10%,323,686,0.00%,0,0,64.20%,204,318,680,136,0,0,0,160,850
康尼尔-西蒙斯,62,0,38.20%,278,728,0.00%,0,0,73.10%,286,391,0,96,0,0,0,256,842
乌杜尼斯-哈斯勒姆,147,3185,48.00%,332,691,0.00%,0,1,71.30%,169,237,822,82,58,41,118,386,833
沃利-琼斯,70,1761,40.60%,333,821,0.00%,0,0,77.70%,167,215,166,202,0,0,0,234,833
内内-希拉里奥,88,2185,52.80%,323,612,0.00%,0,1,59.20%,183,309,490,144,72,47,122,282,829
BJ0阿姆斯特朗,105,2364,47.10%,314,667,45.10%,51,113,83.20%,149,179,151,252,82,3,79,171,828
凯尔文-奈特,45,1504,50.30%,320,636,22.20%,2,9,73.60%,184,250,326,109,27,12,91,100,826
马克-普莱斯,47,1691,46.40%,280,603,33.70%,56,166,94.40%,202,214,124,327,64,5,158,81,818
扎诸纳斯-伊尔戈斯卡斯,80,2123,47.70%,327,686,15.40%,2,13,74.40%,160,215,555,73,26,85,106,236,816
