球员,出场数,上场总时间（min）,投篮率,命中次数,出手次数,三分投球率,三分命中次数,三分出手次数,罚球率,罚球命中次数,罚球出手次数,篮板数,助攻次数,抢断次数,盖帽次数,失误次数,犯规次数,生涯总得分
杰夫-库克,30,468,50.90%,55,108,50.00%,1,2,75.70%,56,74,111,31,12,10,23,71,167
查尔斯-杜德里,36,608,47.50%,56,118,0.00%,0,0,65.50%,55,84,91,124,34,3,0,80,167
约翰-蒙格尔特,19,290,52.10%,62,119,0.00%,0,0,78.20%,43,55,33,33,11,2,0,40,167
弗雷德-琼斯,33,664,39.70%,56,141,42.60%,26,61,87.50%,28,32,76,44,21,10,32,57,166
杰森-马克希尔,35,581,62.60%,67,107,0.00%,0,1,50.00%,32,64,114,20,20,32,19,74,166
迪克-施尼特凯,35,502,33.30%,45,135,0.00%,0,0,73.10%,76,104,83,25,0,0,0,83,166
斯图-朗姿,13,435,45.30%,58,128,0.00%,0,0,83.10%,49,59,50,24,0,0,0,41,165
杰奎-沃恩,75,764,34.20%,66,193,40.00%,4,10,69.00%,29,42,52,102,17,3,45,102,165
萨姆-鲍威,29,644,40.30%,64,159,50.00%,2,4,67.30%,35,52,160,38,14,41,30,97,165
Sonny0Hertzberg,18,0,29.40%,57,194,0.00%,0,0,83.30%,50,60,0,35,0,0,0,55,164
吉姆-布鲁尔,31,742,46.90%,68,145,0.00%,0,0,51.90%,28,54,204,49,24,24,0,59,164
科勒姆-哈斯金斯,28,322,46.90%,68,145,0.00%,0,0,73.70%,28,38,37,38,0,0,0,41,164
阿德里安-格里芬,48,632,48.70%,74,152,20.00%,1,5,76.50%,13,17,145,45,27,3,26,87,162
里基-卢比奥,11,349,38.60%,56,145,26.90%,14,52,81.40%,35,43,60,85,20,4,33,27,161
Billy0Ray0Bates,6,219,54.50%,66,121,37.50%,3,8,80.60%,25,31,17,25,10,2,26,24,160
基斯-博甘斯,36,678,37.20%,55,148,36.90%,41,111,60.00%,9,15,70,27,16,4,17,64,160
帕特-卡明斯,30,454,42.10%,67,159,0.00%,0,0,83.90%,26,31,112,22,6,4,22,59,160
托尼-坎贝尔,38,308,47.40%,55,116,44.40%,4,9,74.20%,46,62,37,15,8,1,21,59,160
杰罗姆-詹姆斯,17,369,49.30%,67,136,0.00%,0,0,72.20%,26,36,89,9,6,25,19,67,160
约翰-格林,20,359,58.30%,67,115,0.00%,0,0,43.30%,26,60,107,13,0,0,0,40,160
谢尔文-马克,30,391,38.20%,55,144,36.80%,25,68,75.80%,25,33,56,60,16,0,17,31,160
Charles0Davis,49,476,39.80%,64,161,9.10%,1,11,85.70%,30,35,89,19,9,2,38,70,159
梅森-普拉姆利,37,620,45.00%,58,129,0.00%,0,1,54.40%,43,79,199,72,20,26,42,104,159
汤姆-欧文斯,16,375,52.80%,67,127,0.00%,0,0,67.60%,25,37,82,33,11,10,0,62,159
约翰-麦卡锡,27,810,38.90%,63,162,0.00%,0,0,73.30%,33,45,96,132,0,0,0,78,159
安德烈-罗伯森,25,665,47.40%,64,135,35.20%,19,54,26.80%,11,41,134,23,35,36,18,60,158
迈克-伍德森,13,348,39.90%,59,148,23.10%,3,13,90.20%,37,41,30,34,10,4,23,35,158
鲍伯-哈里斯,21,0,41.50%,51,123,0.00%,0,0,70.90%,56,79,0,32,0,0,0,88,158
基翁-克拉克,28,448,47.90%,57,119,0.00%,0,0,75.40%,43,57,107,18,7,19,31,65,157
夸梅-布朗,18,466,50.00%,61,122,0.00%,0,0,66.00%,35,53,104,11,3,15,26,54,157
威利-琼斯,16,287,41.80%,66,158,0.00%,0,0,86.20%,25,29,37,43,0,0,0,43,157
格雷格-巴克纳,38,573,37.70%,60,159,25.90%,15,58,78.60%,22,28,100,23,16,6,14,78,157
格雷维斯-瓦斯奎兹,24,433,44.00%,59,134,36.50%,19,52,80.00%,20,25,52,73,11,3,23,48,157
瓦伊曼-提斯代尔,22,381,45.60%,67,147,0.00%,0,1,59.00%,23,39,57,22,2,5,13,61,157
